idVenta,idProducto,cantidad,precio,costo,cancelada,idDetalle,creacion,actualizacion,activo
1,BEB013,1,10,0.0,False,2,2025-04-16 13:34:51,2025-04-16 13:34:51,True
2,SAL001,1,25,0.0,False,3,2025-04-16 13:40:26,2025-04-16 13:40:26,True
2,BEB013,1,10,0.0,False,4,2025-04-16 13:40:26,2025-04-16 13:40:26,True
2,BEB008,1,10,0.0,False,5,2025-04-16 13:40:26,2025-04-16 13:40:26,True
2,CAF016,1,10,0.0,False,6,2025-04-16 13:40:26,2025-04-16 13:40:26,True
3,BEB008,1,10,0.0,False,7,2025-04-16 13:42:20,2025-04-16 13:42:20,True
3,CAF012,1,14,0.0,False,8,2025-04-16 13:42:20,2025-04-16 13:42:20,True
3,BEB013,1,10,0.0,False,9,2025-04-16 13:42:20,2025-04-16 13:42:20,True
4,DUL004,1,4200,1513.0,False,10,2025-04-16 19:21:36,2025-04-16 19:21:36,True
4,DUL016,1,3200,900.0,False,11,2025-04-16 19:21:36,2025-04-16 19:21:36,True
4,CAF002,1,3500,911.0,False,12,2025-04-16 19:21:36,2025-04-16 19:21:36,True
4,BEB002,1,4000,838.0,False,13,2025-04-16 19:21:36,2025-04-16 19:21:36,True
5,DUL005,1,2800,1400.0,False,14,2025-04-16 20:25:27,2025-04-16 20:25:27,True
5,CAF006,1,3000,672.0,False,15,2025-04-16 20:25:27,2025-04-16 20:25:27,True
6,CAF004,1,3500,1039.0,False,16,2025-04-16 21:18:57,2025-04-16 21:18:57,True
6,BEB003,1,4000,863.0,False,17,2025-04-16 21:18:57,2025-04-16 21:18:57,True
7,CAF004,1,3500,1071.31,False,18,2025-04-16 22:41:32,2025-04-16 22:41:32,True
7,DUL016,1,3200,900.0,False,19,2025-04-16 22:41:32,2025-04-16 22:41:32,True
7,DUL004,1,4200,1513.0,False,20,2025-04-16 22:41:32,2025-04-16 22:41:32,True
8,DUL004,3,12600,4539.0,False,21,2025-04-16 22:46:59,2025-04-16 22:46:59,True
11,CAF002,1,3500,1071.31,False,22,2025-04-17 09:44:24,2025-04-17 09:44:24,True
11,DUL008,1,4200,1600.0,False,23,2025-04-17 09:44:24,2025-04-17 09:44:24,True
13,SAL005,1,4500,1427.0,False,24,2025-04-17 09:48:58,2025-04-17 09:48:58,True
13,CAF003,1,3000,1071.31,False,25,2025-04-17 09:48:58,2025-04-17 09:48:58,True
13,CAF001,2,7000,2142.62,False,26,2025-04-17 09:48:58,2025-04-17 09:48:58,True
13,SAL006,1,4000,1255.47,False,27,2025-04-17 09:48:58,2025-04-17 09:48:58,True
14,PRO001,2,10400,4142.62,False,28,2025-04-17 10:06:06,2025-04-17 10:06:06,True
14,CAF001,1,3500,1071.31,False,29,2025-04-17 10:06:06,2025-04-17 10:06:06,True
15,PRO001,1,5200,2071.31,False,30,2025-04-17 10:26:44,2025-04-17 10:26:44,True
16,CAF003,1,3000,1071.31,False,31,2025-04-17 10:30:49,2025-04-17 10:30:49,True
16,CAF001,1,3500,1071.31,False,32,2025-04-17 10:30:49,2025-04-17 10:30:49,True
16,DUL001,2,2400,1000.0,False,33,2025-04-17 10:30:49,2025-04-17 10:30:49,True
16,DUL005,1,2800,1400.0,False,34,2025-04-17 10:30:49,2025-04-17 10:30:49,True
16,BEB004,1,4000,280.0,False,35,2025-04-17 10:30:49,2025-04-17 10:30:49,True
17,DUL007,1,4200,1800.0,False,36,2025-04-17 10:33:06,2025-04-17 10:33:06,True
17,BEB003,1,4000,863.0,False,37,2025-04-17 10:33:06,2025-04-17 10:33:06,True
17,CAF009,1,4000,1235.85,False,38,2025-04-17 10:33:06,2025-04-17 10:33:06,True
17,SAL004,1,2700,964.0,False,39,2025-04-17 10:33:06,2025-04-17 10:33:06,True
18,CAF013,1,2500,746.66,False,40,2025-04-17 10:34:10,2025-04-17 10:34:10,True
19,SAL001,2,5000,1960.0,False,41,2025-04-17 10:46:43,2025-04-17 10:46:43,True
19,CAF002,2,7000,2142.62,False,42,2025-04-17 10:46:43,2025-04-17 10:46:43,True
20,CAF001,1,3500,1071.31,False,43,2025-04-17 11:00:19,2025-04-17 11:00:19,True
21,CAF013,1,2500,746.66,False,44,2025-04-17 11:06:46,2025-04-17 11:06:46,True
22,DUL001,1,1200,500.0,False,45,2025-04-17 11:33:42,2025-04-17 11:33:42,True
22,CAF003,1,3000,1071.31,False,46,2025-04-17 11:33:42,2025-04-17 11:33:42,True
