idVenta,total,tipo,creacion,actualizacion,activo
6812,10700.0,Mostrador,2025-09-04 19:14:06,2025-09-04 19:14:06,True
6811,8300.0,Mostrador,2025-09-04 19:11:49,2025-09-04 19:11:49,True
6810,7100.0,Mostrador,2025-09-04 19:10:58,2025-09-04 19:10:58,True
6809,4500.0,Mostrador,2025-09-04 19:07:29,2025-09-04 19:07:29,True
6808,0.0,Local,2025-09-04 19:04:18,2025-09-04 19:04:18,True
6807,5700.0,Mostrador,2025-09-04 18:57:57,2025-09-04 18:57:57,True
6806,0.0,Mostrador,2025-09-04 18:49:28,2025-09-04 18:49:28,True
6805,3600.0,Mostrador,2025-09-04 18:46:21,2025-09-04 18:46:21,True
6804,4200.0,Mostrador,2025-09-04 18:43:48,2025-09-04 18:43:48,True
6803,3600.0,Mostrador,2025-09-04 18:42:55,2025-09-04 18:42:55,True
6802,5600.0,Local,2025-09-04 18:36:32,2025-09-04 18:36:32,True
6801,8000.0,Local,2025-09-04 18:34:59,2025-09-04 18:34:59,True
6800,9300.0,Mostrador,2025-09-04 18:17:14,2025-09-04 18:17:14,True
6799,50400.0,Local,2025-09-04 18:12:12,2025-09-04 18:12:12,True
6798,5600.0,Mostrador,2025-09-04 18:05:44,2025-09-04 18:05:44,True
6797,10700.0,Mostrador,2025-09-04 17:44:55,2025-09-04 17:44:55,True
6796,9000.0,Mostrador,2025-09-04 17:40:40,2025-09-04 17:40:40,True
6795,6000.0,Local,2025-09-04 17:33:12,2025-09-04 17:33:12,True
6794,11000.0,Local,2025-09-04 17:29:15,2025-09-04 17:29:15,True
6793,5600.0,Local,2025-09-04 17:26:43,2025-09-04 17:26:43,True
6792,4200.0,Mostrador,2025-09-04 17:10:29,2025-09-04 17:10:29,True
6791,11400.0,Local,2025-09-04 17:06:13,2025-09-04 17:06:13,True
6790,8400.0,Mostrador,2025-09-04 17:01:43,2025-09-04 17:01:43,True
6789,6500.0,Mostrador,2025-09-04 16:59:39,2025-09-04 16:59:39,True
6788,6000.0,Mostrador,2025-09-04 16:58:56,2025-09-04 16:58:56,True
6787,21500.0,Local,2025-09-04 16:43:24,2025-09-04 16:43:24,True
6786,4200.0,Mostrador,2025-09-04 16:41:37,2025-09-04 16:41:37,True
6785,12000.0,Mostrador,2025-09-04 16:38:07,2025-09-04 16:38:07,True
6784,25800.0,Local,2025-09-04 16:34:39,2025-09-04 16:34:39,True
6783,25600.0,Mostrador,2025-09-04 16:28:02,2025-09-04 16:28:02,True
6782,9800.0,Local,2025-09-04 16:12:21,2025-09-04 16:12:21,True
6781,10200.0,Mostrador,2025-09-04 15:01:43,2025-09-04 15:01:43,True
6780,4200.0,Mostrador,2025-09-04 14:01:04,2025-09-04 14:01:04,True
6779,11400.0,Mostrador,2025-09-04 14:00:17,2025-09-04 14:00:17,True
6778,24100.0,Local,2025-09-04 13:44:11,2025-09-04 13:44:11,True
6777,6426.0,Delivery,2025-09-04 13:38:11,2025-09-04 13:38:11,True
6776,4200.0,Mostrador,2025-09-04 12:08:07,2025-09-04 12:08:07,True
6775,8400.0,Mostrador,2025-09-04 11:55:51,2025-09-04 11:55:51,True
6774,13500.0,Mostrador,2025-09-04 11:20:29,2025-09-04 11:20:29,True
6773,13000.0,Mostrador,2025-09-04 11:15:41,2025-09-04 11:15:41,True
6772,6300.0,Mostrador,2025-09-04 11:11:51,2025-09-04 11:11:51,True
6771,3978.0,Delivery,2025-09-04 10:48:05,2025-09-04 10:48:05,True
6770,5200.0,Mostrador,2025-09-04 10:15:21,2025-09-04 10:15:21,True
6769,3800.0,Mostrador,2025-09-04 09:53:02,2025-09-04 09:53:02,True
6768,8874.0,Delivery,2025-09-04 09:50:13,2025-09-04 09:50:13,True
6767,4200.0,Local,2025-09-04 09:38:13,2025-09-04 09:38:13,True
6766,2800.0,Mostrador,2025-09-04 09:31:32,2025-09-04 09:31:32,True
6765,4200.0,Mostrador,2025-09-04 09:26:51,2025-09-04 09:26:51,True
6764,5000.0,Mostrador,2025-09-04 09:25:12,2025-09-04 09:25:12,True
6763,16929.0,Delivery,2025-09-04 09:20:06,2025-09-04 09:20:06,True
6762,9800.0,Mostrador,2025-09-04 09:16:25,2025-09-04 09:16:25,True
6761,6500.0,Mostrador,2025-09-04 08:50:15,2025-09-04 08:50:15,True
6760,4500.0,Mostrador,2025-09-04 08:30:23,2025-09-04 08:30:23,True
6759,4200.0,Mostrador,2025-09-04 08:25:03,2025-09-04 08:25:03,True
6758,11400.0,Mostrador,2025-09-04 08:20:48,2025-09-04 08:20:48,True
6757,2800.0,Mostrador,2025-09-04 08:13:13,2025-09-04 08:13:13,True
6756,10700.0,Mostrador,2025-09-04 08:00:39,2025-09-04 08:00:39,True
6755,8400.0,Mostrador,2025-09-03 19:25:28,2025-09-03 19:25:28,True
6754,4500.0,Mostrador,2025-09-03 18:44:44,2025-09-03 18:44:44,True
6753,8748.0,Delivery,2025-09-03 18:44:07,2025-09-03 18:44:07,True
6752,8000.0,Mostrador,2025-09-03 18:29:24,2025-09-03 18:29:24,True
6751,6500.0,Local,2025-09-03 18:26:40,2025-09-03 18:26:40,True
6750,4200.0,Mostrador,2025-09-03 18:10:09,2025-09-03 18:10:09,True
6749,2800.0,Mostrador,2025-09-03 18:02:20,2025-09-03 18:02:20,True
6748,17900.0,Mostrador,2025-09-03 17:50:33,2025-09-03 17:50:33,True
6747,15200.0,Local,2025-09-03 17:42:09,2025-09-03 17:42:09,True
6746,19500.0,Mostrador,2025-09-03 17:40:53,2025-09-03 17:40:53,True
6745,4200.0,Mostrador,2025-09-03 17:32:50,2025-09-03 17:32:50,True
6744,8400.0,Mostrador,2025-09-03 17:14:09,2025-09-03 17:14:09,True
6743,6400.0,Local,2025-09-03 16:58:51,2025-09-03 16:58:51,True
6742,11800.0,Mostrador,2025-09-03 16:42:31,2025-09-03 16:42:31,True
6741,6500.0,Local,2025-09-03 16:39:09,2025-09-03 16:39:09,True
6740,12900.0,Mostrador,2025-09-03 16:30:31,2025-09-03 16:30:31,True
6739,10600.0,Local,2025-09-03 16:18:42,2025-09-03 16:18:42,True
6738,19100.0,Mostrador,2025-09-03 16:09:15,2025-09-03 16:09:15,True
6737,3200.0,Mostrador,2025-09-03 15:39:18,2025-09-03 15:39:18,True
6736,6000.0,Mostrador,2025-09-03 15:15:13,2025-09-03 15:15:13,True
6735,5200.0,Mostrador,2025-09-03 15:04:37,2025-09-03 15:04:37,True
6734,4200.0,Mostrador,2025-09-03 14:46:03,2025-09-03 14:46:03,True
6733,7800.0,Mostrador,2025-09-03 14:25:01,2025-09-03 14:25:01,True
6732,5000.0,Local,2025-09-03 14:20:39,2025-09-03 14:20:39,True
6731,4200.0,Mostrador,2025-09-03 13:00:09,2025-09-03 13:00:09,True
6730,4500.0,Mostrador,2025-09-03 12:45:40,2025-09-03 12:45:40,True
6729,5800.0,Mostrador,2025-09-03 11:58:54,2025-09-03 11:58:54,True
6728,11467.0,Delivery,2025-09-03 11:38:06,2025-09-03 11:38:06,True
6727,14400.0,Delivery,2025-09-03 10:55:18,2025-09-03 10:55:18,True
6726,8000.0,Mostrador,2025-09-03 10:15:36,2025-09-03 10:15:36,True
6725,5715.5,Delivery,2025-09-03 10:09:04,2025-09-03 10:09:04,True
6724,7800.0,Mostrador,2025-09-03 10:07:45,2025-09-03 10:07:45,True
6723,6500.0,Mostrador,2025-09-03 09:55:22,2025-09-03 09:55:22,True
6722,4800.0,Mostrador,2025-09-03 09:07:45,2025-09-03 09:07:45,True
6721,10700.0,Mostrador,2025-09-03 08:51:00,2025-09-03 08:51:00,True
6720,4200.0,Mostrador,2025-09-03 08:47:18,2025-09-03 08:47:18,True
6719,2800.0,Mostrador,2025-09-03 08:46:09,2025-09-03 08:46:09,True
6718,0.0,Mostrador,2025-09-03 08:24:16,2025-09-03 08:24:16,True
6717,6500.0,Mostrador,2025-09-03 08:05:34,2025-09-03 08:05:34,True
6716,3200.0,Mostrador,2025-09-02 19:02:58,2025-09-02 19:02:58,True
6715,4200.0,Mostrador,2025-09-02 18:49:35,2025-09-02 18:49:35,True
6714,3600.0,Mostrador,2025-09-02 18:44:57,2025-09-02 18:44:57,True
6713,14800.0,Mostrador,2025-09-02 18:25:26,2025-09-02 18:25:26,True
6712,8500.0,Mostrador,2025-09-02 18:22:07,2025-09-02 18:22:07,True
6711,4200.0,Mostrador,2025-09-02 17:44:14,2025-09-02 17:44:14,True
6710,11000.0,Local,2025-09-02 17:43:25,2025-09-02 17:43:25,True
6709,10700.0,Local,2025-09-02 17:36:42,2025-09-02 17:36:42,True
6708,9800.0,Mostrador,2025-09-02 17:36:16,2025-09-02 17:36:16,True
6707,11200.0,Local,2025-09-02 17:35:45,2025-09-02 17:35:45,True
6706,9800.0,Mostrador,2025-09-02 17:35:16,2025-09-02 17:35:16,True
6705,11000.0,Local,2025-09-02 17:26:43,2025-09-02 17:26:43,True
6704,5200.0,Mostrador,2025-09-02 17:25:15,2025-09-02 17:25:15,True
6703,4200.0,Mostrador,2025-09-02 17:06:15,2025-09-02 17:06:15,True
6702,7600.0,Mostrador,2025-09-02 17:01:24,2025-09-02 17:01:24,True
6701,6500.0,Mostrador,2025-09-02 16:56:39,2025-09-02 16:56:39,True
6700,5600.0,Mostrador,2025-09-02 16:51:38,2025-09-02 16:51:38,True
6699,13000.0,Mostrador,2025-09-02 16:43:22,2025-09-02 16:43:22,True
6698,11000.0,Local,2025-09-02 16:25:11,2025-09-02 16:25:11,True
6697,17600.0,Local,2025-09-02 16:16:29,2025-09-02 16:16:29,True
6696,8000.0,Local,2025-09-02 16:03:21,2025-09-02 16:03:21,True
6695,9900.0,Mostrador,2025-09-02 16:02:51,2025-09-02 16:02:51,True
6694,4200.0,Mostrador,2025-09-02 15:50:48,2025-09-02 15:50:48,True
6693,18800.0,Mostrador,2025-09-02 15:46:06,2025-09-02 15:46:06,True
6692,4200.0,Mostrador,2025-09-02 15:15:24,2025-09-02 15:15:24,True
6691,4200.0,Mostrador,2025-09-02 14:42:14,2025-09-02 14:42:14,True
