fecha,tipo,nombre
2025-01-01,inamovible,Año nuevo
2025-03-03,inamovible,Carnaval
2025-03-04,inamovible,Carnaval
2025-03-24,inamovible,Día Nacional de la Memoria por la Verdad y la Justicia
2025-04-02,inamovible,Día del Veterano y de los Caídos en la Guerra de Malvinas
2025-04-17,puente,Jueves Santo
2025-04-18,inamovible,Viernes Santo
2025-05-01,inamovible,Día del Trabajador
2025-05-02,puente,Puente turístico no laborable
2025-05-25,inamovible,Día de la Revolución de Mayo
2025-06-16,trasladable,Paso a la Inmortalidad del General Martín Güemes
2025-06-20,inamovible,Paso a la Inmortalidad del General Manuel Belgrano
2025-07-09,inamovible,Día de la Independencia
2025-08-15,puente,Puente turístico no laborable
2025-08-17,trasladable,Paso a la Inmortalidad del Gral. José de San Martín
